,Year,City,drought,max_avg_temp_month,max_avg_temp,Produtividade aparente do trabalho
0,1995,Viana do Castelo,227.0,28.6,21.0,18177.0
1,1995,Bragança,236.0,30.0,19.5,18177.0
2,1995,Porto,205.0,27.1,19.9,18177.0
3,1995,Castelo Branco,251.0,32.6,21.9,18177.0
4,1995,Lisboa,261.0,29.5,22.1,18177.0
5,1995,Beja,286.0,34.3,24.1,18177.0
6,1995,Faro,282.0,29.7,23.1,18177.0
7,1996,Viana do Castelo,202.0,26.7,19.9,18879.4
8,1996,Bragança,220.0,29.5,18.1,18879.4
9,1996,Porto,202.0,24.5,18.5,18879.4
10,1996,Castelo Branco,231.0,32.2,20.5,18879.4
11,1996,Lisboa,233.0,28.2,21.0,18879.4
12,1996,Beja,235.0,33.8,22.6,18879.4
13,1996,Faro,255.0,29.1,21.7,18879.4
14,1997,Viana do Castelo,201.0,27.5,21.3,19967.8
15,1997,Bragança,224.0,29.1,19.0,19967.8
16,1997,Porto,209.0,25.0,19.9,19967.8
17,1997,Castelo Branco,242.0,30.7,21.4,19967.8
18,1997,Lisboa,243.0,27.8,21.9,19967.8
19,1997,Beja,253.0,31.9,23.3,19967.8
20,1997,Faro,269.0,28.1,22.6,19967.8
21,1998,Viana do Castelo,217.0,28.3,20.5,20877.2
22,1998,Bragança,241.0,32.3,19.0,20877.2
23,1998,Porto,232.0,25.2,19.0,20877.2
24,1998,Castelo Branco,268.0,34.0,21.5,20877.2
25,1998,Lisboa,268.0,28.4,21.4,20877.2
26,1998,Beja,289.0,34.4,23.4,20877.2
27,1998,Faro,295.0,29.3,22.3,20877.2
28,1999,Viana do Castelo,206.0,27.5,20.0,21996.7
29,1999,Bragança,238.0,30.7,18.3,21996.7
30,1999,Porto,220.0,24.7,19.0,21996.7
31,1999,Castelo Branco,242.0,33.1,20.9,21996.7
32,1999,Lisboa,260.0,28.3,20.9,21996.7
33,1999,Beja,285.0,33.7,22.8,21996.7
34,1999,Faro,299.0,28.0,21.8,21996.7
35,2000,Viana do Castelo,186.0,26.0,19.9,23142.6
36,2000,Bragança,228.0,28.5,18.4,23142.6
37,2000,Porto,191.0,24.1,18.8,23142.6
38,2000,Castelo Branco,234.0,31.2,20.9,23142.6
39,2000,Lisboa,257.0,28.6,21.3,23142.6
40,2000,Beja,274.0,33.2,22.8,23142.6
41,2000,Faro,290.0,29.7,22.1,23142.6
42,2001,Viana do Castelo,199.0,26.2,20.2,24192.7
43,2001,Bragança,254.0,29.3,18.4,24192.7
44,2001,Porto,215.0,24.8,18.9,24192.7
45,2001,Castelo Branco,241.0,31.0,20.8,24192.7
46,2001,Lisboa,254.0,27.1,20.8,24192.7
47,2001,Beja,268.0,32.7,22.6,24192.7
48,2001,Faro,281.0,28.8,22.1,24192.7
49,2002,Viana do Castelo,183.0,26.0,20.0,25244.5
50,2002,Bragança,228.0,28.9,18.5,25244.5
51,2002,Porto,203.0,23.8,18.9,25244.5
52,2002,Castelo Branco,233.0,31.6,21.0,25244.5
53,2002,Lisboa,247.0,27.1,21.1,25244.5
54,2002,Beja,265.0,33.0,22.6,25244.5
55,2002,Faro,277.0,29.6,22.1,25244.5
56,2003,Viana do Castelo,202.0,28.5,20.2,26191.5
57,2003,Bragança,224.0,32.0,18.9,26191.5
58,2003,Porto,207.0,27.0,19.4,26191.5
59,2003,Castelo Branco,237.0,34.0,21.3,26191.5
60,2003,Lisboa,260.0,30.1,21.4,26191.5
61,2003,Beja,281.0,33.8,23.0,26191.5
62,2003,Faro,282.0,30.8,22.3,26191.5
63,2004,Viana do Castelo,218.0,26.7,20.3,27500.2
64,2004,Bragança,265.0,29.7,18.6,27500.2
65,2004,Porto,249.0,24.4,19.1,27500.2
66,2004,Castelo Branco,274.0,32.6,21.5,27500.2
67,2004,Lisboa,279.0,28.7,21.4,27500.2
68,2004,Beja,266.0,34.5,23.3,27500.2
69,2004,Faro,306.0,31.4,22.3,27500.2
70,2005,Viana do Castelo,232.0,29.0,20.8,28498.2
71,2005,Bragança,275.0,30.2,19.0,28498.2
72,2005,Porto,250.0,27.0,19.6,28498.2
73,2005,Castelo Branco,282.0,34.0,21.7,28498.2
74,2005,Lisboa,290.0,29.9,21.5,28498.2
75,2005,Beja,301.0,34.9,23.5,28498.2
76,2005,Faro,304.0,28.7,21.8,28498.2
77,2006,Viana do Castelo,204.0,26.9,19.8,29728.0
78,2006,Bragança,246.0,31.2,19.1,29728.0
79,2006,Porto,229.0,27.8,20.0,29728.0
80,2006,Castelo Branco,261.0,33.0,21.7,29728.0
81,2006,Lisboa,271.0,29.7,21.8,29728.0
82,2006,Beja,255.0,35.0,23.4,29728.0
83,2006,Faro,289.0,29.8,22.3,29728.0
84,2007,Viana do Castelo,246.0,25.2,19.4,31539.3
85,2007,Bragança,269.0,26.9,18.5,31539.3
86,2007,Porto,251.0,25.7,19.7,31539.3
87,2007,Castelo Branco,275.0,30.7,21.0,31539.3
88,2007,Lisboa,285.0,27.5,21.1,31539.3
89,2007,Beja,266.0,33.2,22.8,31539.3
90,2007,Faro,303.0,30.1,22.3,31539.3
91,2008,Viana do Castelo,206.0,24.0,18.9,32257.1
92,2008,Bragança,251.0,28.4,18.4,32257.1
93,2008,Porto,217.0,23.6,19.1,32257.1
94,2008,Castelo Branco,266.0,31.3,21.0,32257.1
95,2008,Lisboa,266.0,27.1,21.1,32257.1
96,2008,Beja,263.0,32.5,22.7,32257.1
97,2008,Faro,296.0,29.0,22.0,32257.1
98,2009,Viana do Castelo,211.0,24.6,19.1,33097.1
99,2009,Bragança,257.0,32.3,19.5,33097.1
100,2009,Porto,189.0,25.2,19.3,33097.1
101,2009,Castelo Branco,263.0,34.0,22.3,33097.1
102,2009,Lisboa,252.0,29.2,22.0,33097.1
103,2009,Beja,260.0,34.7,23.8,33097.1
104,2009,Faro,294.0,30.0,22.6,33097.1
105,2010,Viana do Castelo,209.0,26.0,19.1,34088.0
106,2010,Bragança,233.0,31.6,18.3,34088.0
107,2010,Porto,215.0,26.9,19.5,34088.0
108,2010,Castelo Branco,246.0,35.1,21.3,34088.0
109,2010,Lisboa,239.0,31.2,21.9,34088.0
110,2010,Beja,239.0,35.8,22.8,34088.0
111,2010,Faro,263.0,31.0,22.3,34088.0
112,2011,Viana do Castelo,232.0,23.8,19.8,34066.8
113,2011,Bragança,259.0,29.6,19.9,34066.8
114,2011,Porto,245.0,25.1,20.2,34066.8
115,2011,Castelo Branco,271.0,31.9,22.4,34066.8
116,2011,Lisboa,268.0,28.0,22.5,34066.8
117,2011,Beja,252.0,32.1,23.4,34066.8
118,2011,Faro,292.0,29.5,22.9,34066.8
119,2015,Viana do Castelo,212.0,24.2,19.5,36242.6
120,2015,Bragança,256.0,32.2,19.5,36242.6
121,2015,Porto,241.0,24.2,19.6,36242.6
122,2015,Castelo Branco,279.0,35.2,22.8,36242.6
123,2015,Lisboa,276.0,29.2,22.4,36242.6
124,2015,Beja,263.0,33.8,24.1,36242.6
125,2015,Faro,312.0,31.1,22.8,36242.6
126,2016,Viana do Castelo,212.0,26.7,19.3,36703.8
127,2016,Bragança,228.0,32.3,19.3,36703.8
128,2016,Porto,218.0,26.5,19.5,36703.8
129,2016,Castelo Branco,253.0,35.1,22.1,36703.8
130,2016,Lisboa,245.0,31.8,22.5,36703.8
131,2016,Beja,244.0,35.9,23.7,36703.8
132,2016,Faro,283.0,31.2,22.9,36703.8
